audio_base,audio,gold_sentence_path,original_text,sentence_segmented,sentence_start,sentence_end,transcribed_text,corrected_text
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_1.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_1.txt, Feriado largo de agosto: ¿cuáles son los días no laborables de fin de mes? ,feriado largo de agosto cuáles son los días no laborables de fin de mes,0.9000995813397129,5.200575358851674,feriado largo de agosto cuales son los días no elaborables de fin de mes, Feriado largo de agosto: ¿cuáles son los días no laborables de fin de mes? 
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_2.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_2.txt, Feriado largo 2019. Agosto también tendrá fin de semana largo. ,feriado largo dos mil diecinueve agosto también tendrá fin de semana largo,5.740635107655502,9.561057775119616,feriado largo domilici nueve agosto también tendrá fin de semanas largo, Feriado largo 2019. Agosto también tendrá fin de semana largo. 
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_3.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_3.txt, El gobierno decretó días no laborables para celebrar el día de Santa Rosa de Lima. ,el gobierno decretó días no laborables para celebrar el día de santa rosa de lima,10.021108672248806,14.721628708133972,el gobierno decretó días no laborables para celebrar el día de santa rosa el lima, El gobierno decretó días no laborables para celebrar el día de Santa Rosa de Lima. 
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_4.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_4.txt, Entérate más a continuación. ,entérate más a continuación,15.34169730861244,17.021883193779903,enter a temás a continuación, Entérate más a continuación. 
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_5.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_5.txt, Agosto de 2019 termina con un feriado en Perú. ,agosto de dos mil diecinueve termina con un feriado en perú,17.621949581339717,21.082332416267946,agosto de dos milesinueve termina con un feriado en el perú, Agosto de 2019 termina con un feriado en Perú. 
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_6.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_6.txt," El día 30 del mes se celebra el día de Santa Rosa de Lima, la festividad que conmemora a Isabel Flores de Oliva o, Rosa de Santa María, como era conocida antes de su canonización, como patrona de la capital peruana.Y, desde 1989, como patrona de la Policía Nacional del Perú. ",el día treinta del mes se celebra el día de santa rosa de lima la festividad que conmemora a isabel flores de oliva o rosa de santa maría como era conocida antes de su canonización como patrona de la capital peruanay desde mil novecientos ochenta y nueve como patrona de la policía nacional del perú,21.56238552631579,40.764509928229664,el día treinta del mes se celebra el día anta rosa lima la festividad que conmemora a isabel flores oliva o rosa de santa maría como reconocida antes de su canonización como patrona de la capital peruana y desde mil novecientos ochenta y nueve como patrona de la policía nacional," El día 30 del mes se celebra el día de Santa Rosa de Lima, la festividad que conmemora a Isabel Flores de Oliva o, Rosa de Santa María, como era conocida antes de su canonización, como patrona de la capital peruana.Y, desde 1989, como patrona de la Policía Nacional del Perú. "
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_7.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_7.txt," En ese sentido, y como ya es costumbre en los gobiernos de turno, se declaran días no laborables con el fin de promover el turismo al interior del país. ",en ese sentido y como ya es costumbre en los gobiernos de turno se declaran días no laborables con el fin de promover el turismo al interior del país,42.7647312200957,51.88574031100478,en este sentido y como y es costumbre en los gobiernos de turno se declaran días no laborables con el fin de promover el turismo el interior del país," En ese sentido, y como ya es costumbre en los gobiernos de turno, se declaran días no laborables con el fin de promover el turismo al interior del país. "
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_8.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_8.txt," Por ello, algunos ya empezaron a planificar su viaje pues, a este 30 de agosto, feriado en el calendario, será agregado un día más de descanso, para que así los peruanos tenga un feriado largo más este 2019. ",por ello algunos ya empezaron a planificar su viaje pues a este treinta de agosto feriado en el calendario será agregado un día más de descanso para que así los peruanos tenga un feriado largo más este dos mil diecinueve,52.40579784688995,67.80750179425839,por ello algunos ya empezaron a planificar su viaje pues a este treinta de agosto feriado en el calendario será registrado un día más de descanso para que así los peruanos tengan un feriado largo más este dos mil diecinueve," Por ello, algunos ya empezaron a planificar su viaje pues, a este 30 de agosto, feriado en el calendario, será agregado un día más de descanso, para que así los peruanos tenga un feriado largo más este 2019. "
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_9.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_9.txt," Entonces, la mayoría de los peruanos tendrán cuatro días para aprovechar como más le plazca su feriado largo de agosto. ",entonces la mayoría de los peruanos tendrán cuatro días para aprovechar como más le plazca su feriado largo de agosto,68.7076013755981,78.48868349282297,entonces la mayoría de los peruanos tendrán cuatro días para aprovechar como más de plasca suferiado largo de agosto," Entonces, la mayoría de los peruanos tendrán cuatro días para aprovechar como más le plazca su feriado largo de agosto. "
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_10.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_10.txt," El jueves 29 de agosto, como día no laborable, el viernes 30 por el día de Santa Rosa de Lima y, los días sábado y domingo, días de descanso de los trabajadores. ",el jueves veintinueve de agosto como día no laborable el viernes treinta por el día de santa rosa de lima y los días sábado y domingo días de descanso de los trabajadores,79.1287543062201,91.03007099282296,de puebs veintinueve de agosto como diano lagrable el viernes treida por el diasandarroza y los días ahoy domingo días de descanso de los trabajadores," El jueves 29 de agosto, como día no laborable, el viernes 30 por el día de Santa Rosa de Lima y, los días sábado y domingo, días de descanso de los trabajadores. "
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_11.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_11.txt, Día no laborable el 29 de agosto de 2019 ,día no laborable el veintinueve de agosto de dos mil diecinueve,91.07007541866028,95.11052242822969,día no no laborable el veintinueve de agosto de los mil diecinueve, Día no laborable el 29 de agosto de 2019 
/content/drive/MyDrive/Proyecto_ASR_AG/Proyecto_AG/ATMA/2020-06-03_05_40_44.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/segment_12.wav,/content/drive/MyDrive/Proyecto_ASR_AG/Aligned_VF/ATMA_Lectura_066/gold_sentence_12.txt," El Gobierno de Martín Vizcarra dispuso que el próximo jueves 29 de agosto de 2019, sea decretado como día no laborable para el sector público. ",el gobierno de martín vizcarra dispuso que el próximo jueves veintinueve de agosto de dos mil diecinueve sea decretado como día no laborable para el sector público,96.210644138756,106.59179264354069,el gobierno de martín vizcara dispuso que el próximo jueves veintinueve de agosto de dos mil decinueve sea decreto como día no laborable para el sector público," El Gobierno de Martín Vizcarra dispuso que el próximo jueves 29 de agosto de 2019, sea decretado como día no laborable para el sector público. "
